arm	size	budget_bt	gbs	lr	steps	tokens	loss	schedule
ckda-shipped-hybrid-lowrank	588M	20	128	0.0005	38147	20000014336	2.3049	chain
ckda-shipped-hybrid-lowrank	588M	30	128	0.0005	57221	30000283648	2.2683	chain
ckda-shipped-hybrid-lowrank	588M	50	128	0.0005	95368	50000297984	2.2295	chain
ckda-shipped-hybrid-lowrank	588M	6	64	0.0005	22889	6000214016	2.4424	chain
ckda-shipped-hybrid-lowrank	983M	12	64	0.0005	45777	12000165888	2.2959	chain
ckda-shipped-hybrid-lowrank	983M	20	128	0.0005	38147	20000014336	2.2405	chain
ckda-shipped-hybrid-lowrank	983M	30	128	0.0005	57221	30000283648	2.2017	chain
ckda-shipped-hybrid-lowrank	983M	50	128	0.0005	95368	50000297984	2.1608	chain
ckda-shipped-hybrid-lowrank	983M	6	64	0.0005	22889	6000214016	2.3850	chain
ckda-shipped-lowrank	1.7B	6	64	0.0005	22889	6000214016	2.3402	single
ckda-shipped-lowrank	1.7B	12	128	0.0005	22889	12000428032	2.2507	chain
ckda-shipped-lowrank	1.7B	20	128	0.0005	38147	20000014336	2.1898	chain
ckda-shipped-lowrank	1.7B	30	128	0.0005	57221	30000283648	2.1494	chain
ckda-shipped-lowrank	1.7B	50	128	0.0005	95368	50000297984	2.1061	chain
ckda-shipped-lowrank	588M	12	64	0.0005	45777	12000165888	2.3673	chain
ckda-shipped-lowrank	588M	20	128	0.0005	38147	20000014336	2.3191	chain
ckda-shipped-lowrank	588M	30	128	0.0005	57221	30000283648	2.2815	chain
ckda-shipped-lowrank	588M	50	128	0.0005	95368	50000297984	2.2417	chain
ckda-shipped-lowrank	588M	6	64	0.0005	22889	6000214016	2.4532	chain
ckda-shipped-lowrank	983M	12	64	0.0005	45777	12000165888	2.3059	chain
ckda-shipped-lowrank	983M	20	128	0.0005	38147	20000014336	2.2532	chain
ckda-shipped-lowrank	983M	30	128	0.0005	57221	30000283648	2.2141	chain
ckda-shipped-lowrank	983M	50	128	0.0005	95368	50000297984	2.1722	chain
ckda-shipped-lowrank	983M	6	64	0.0005	22889	6000214016	2.3963	chain
attn-qknorm	302M	30	128	0.001	57221	30000283648	2.4287	chain
attn-qknorm	302M	50	128	0.001	95368	50000297984	2.3882	chain
