campaign,run,step,tokens_B,layer,n_transitions,head_dim,frac_transition_any_complex,frac_transition_any_real_neg,frac_alpha_neg,frac_beta_gt1,mean_beta,median_abs_alpha,angle_q50,modulus_complex_q50
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,29184,15.301,13,256,128,0.2421875,0.7109375,0.022491455078125,0.45703125,0.9086616635322571,0.9747905731201172,1.9234925620793466,0.12427868182279084
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,29184,15.301,14,256,128,0.21484375,0.671875,0.018096923828125,0.33984375,0.8678930997848511,0.991454005241394,1.9990301113692714,0.11371054742291896
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,29184,15.301,15,256,128,0.1484375,0.7890625,0.030609130859375,0.3046875,0.7858411073684692,0.9840798377990723,2.1736042725447513,0.08789994192480421
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,29184,15.301,16,256,128,0.11328125,0.796875,0.02130126953125,0.26953125,0.7669159173965454,0.9833436608314514,2.157935550704549,0.12481263323931231
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,29184,15.301,17,256,128,0.1484375,0.77734375,0.020416259765625,0.2890625,0.7471842765808105,0.9903949499130249,2.144968482405025,0.10633583355118367
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,29184,15.301,18,256,128,0.140625,0.6640625,0.02325439453125,0.23828125,0.7120468616485596,0.9808585047721863,2.41230932461535,0.1253237691601083
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,29184,15.301,19,256,128,0.15625,0.765625,0.020050048828125,0.3359375,0.8419157862663269,0.9781011343002319,2.0493541087605793,0.09675191320896209
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,29184,15.301,20,256,128,0.16796875,0.734375,0.02557373046875,0.3359375,0.7794281244277954,0.9387415647506714,1.896793780391259,0.06549900139050135
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,29184,15.301,21,256,128,0.05078125,0.76953125,0.020233154296875,0.09765625,0.5079714059829712,0.9924299716949463,2.363722061417571,0.14444940889226604
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,29184,15.301,22,256,128,0.03125,0.89453125,0.023773193359375,0.07421875,0.45459121465682983,0.9942835569381714,2.2101008112586884,0.11616892615721187
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,29184,15.301,23,256,128,0.08984375,0.75390625,0.0174560546875,0.2421875,0.7930213809013367,0.9750326871871948,2.2930580443389617,0.08105924574676747
fwedu_1p3B,fwedu_1p3B_ckda-shipped-lowrank_1.3B_cosine100B_gbs128_lr0.0004,38912,20.401,0,256,128,0.51953125,1.0,0.212738037109375,0.5625,1.144829511642456,0.8947204947471619,1.9593387323426392,0.15626226925941494
